song_name,rhythm_L2,pitch_L2,pitch_der_L2,pitch_med_L2,vib_frame_L2,rhythm_L6_L2,pitch_L6_L2,pitch_der_L6_L2,pitch_med_L6_L2,vib_frame_L6_L2,timbral_dist,pitch_dist,pitch_der_dist,pitch_med_dist,vib_segment_dist,vib_frame_dist,volume_dist,pitch_dynamic_dist,emolina_rhythm_mfcc_dist,emolina_rhythm_pitch_dist,GT
JTAN_1,-0.328835611,-0.66106538,0.22338685,0.755293376,0.4342026,-0.361463416,-0.653231145,0.248659712,0.661201734,0.587292189,0.775034826,0.910274562,0.37442542,0.50188659,-0.313896755,-0.469503198,0.653807459,-2.565571586,-0.252286049,2.876876519,1.4
JTAN_0,-0.214812542,4.312377567,0.756910514,1.79798579,0.847840533,-0.253309589,3.849142315,0.74494165,1.877128685,0.950189311,0.968637851,0.82545159,4.574743764,3.088164319,-0.966743731,0.046816459,-0.325356606,-4.059729473,-0.380487085,-0.625124682,1.4
JTAN_7,-0.971269339,0.645328697,-0.762519224,-0.824001393,-1.044836011,-1.007973763,1.009556644,-0.675680763,-0.747886746,-0.807612486,0.991064901,0.174846613,0.997507448,1.899868574,-0.045239621,-1.103785403,0.142200658,-4.444078769,-0.382056664,-0.171899916,1.4
JTAN_3,2.66210731,-0.794361502,0.277586985,0.075039977,-0.753239401,2.475848459,-0.817402674,0.254965217,0.135915414,-0.802602711,1.156832394,1.09631264,1.245682843,0.979577207,-0.355687164,-0.445482774,0.529015974,1.347584682,8.623199537,-0.697186313,1.4
JTAN_6,-1.037894135,-0.794361502,-0.220138647,0.608271936,2.52195935,-1.077745849,-0.817402674,-0.290984343,0.478080764,2.489627583,0.743285215,1.43622186,1.588073951,0.280331455,-0.045573306,0.700118889,-0.118903662,-1.948210529,-0.388876947,0.154533376,1.4
JTAN_5,0.306278457,-0.794361502,0.366973432,0.102705775,-0.298050313,0.265052644,-0.817402674,0.399648587,0.130381997,-0.279703536,0.613904552,0.865604915,0.763712901,0.227069878,1.063807843,-0.403766111,-0.182506893,-3.151704262,-0.317221838,1.112566856,1.4
JTAN_4,-0.427002721,-0.794361502,-0.887886322,-0.66754111,-1.588557184,-0.166846397,-0.817402674,-0.720880694,-0.429823841,-1.216460704,-2.214467112,-0.356626528,-1.882363409,-1.143975036,-0.77182349,-1.37628898,-0.852795936,0.232971724,-0.38515306,-0.861630175,1.4
JTAN_2,-0.828939375,-0.794361502,-0.241287816,-0.415237346,-1.050978728,-0.859225278,-0.817402674,-0.055209564,-0.322003471,-0.808553733,0.826686068,0.465039593,-0.405682795,-0.621930283,-0.443864948,-1.237473664,0.431968232,0.213754259,-0.377806444,0.342954659,1.4
PRAV_5,-0.058935243,-0.794361502,-0.370713749,-0.488968726,0.203840037,-0.107286063,-0.817402674,-0.215907829,-0.338046388,0.875864471,1.774953831,0.707117268,-0.889608956,-0.60405555,1.275721569,1.805470176,1.127372574,0.331461231,0.472586421,-0.930978474,1
PRAV_1,-0.085113912,-0.794361502,0.400339933,-0.4910603,2.40063128,-0.109767221,-0.817402674,0.326615448,-0.505817948,2.491876272,1.441713628,1.478889852,0.372574943,0.211125344,1.516747795,1.892342981,0.759067366,-0.811977924,0.025356236,-0.401805566,1
PRAV_4,1.072418754,-0.794361502,-0.703507074,-0.78085307,-1.655417832,1.785568333,-0.817402674,-0.46571277,-0.588787819,-1.405747385,-1.883121393,-0.14873083,-1.326955968,-0.424734456,0.251547904,-0.353764912,-1.475879856,1.131388203,-0.089083233,-1.101548928,1
PRAV_7,1.934945699,-0.794361502,-0.591513603,-0.904864362,-0.789833419,1.825267143,-0.817402674,-0.496183022,-0.87264054,-0.647600034,0.95983233,0.638838629,0.031294121,0.16883033,0.908102388,0.346370755,0.896614117,1.628640104,0.175831724,-0.458909459,1
PRAV_3,-0.158859074,-0.794361502,-0.353004108,0.556355008,-1.085889071,-0.200941611,-0.817402674,-0.240165447,0.726071013,-0.962775407,1.12383065,0.505801808,0.142560657,0.017396312,0.877171162,-0.061266233,0.11923342,1.285127921,0.21995328,0.529781821,1
PRAV_0,0.707843135,-0.794361502,2.138592952,0.880951156,-0.978401728,0.644893066,-0.817402674,2.579638483,1.162895855,-0.884329462,0.955344866,0.892449353,1.064653326,1.049275586,0.114929085,-0.271307082,1.461527452,0.499614048,0.624147184,-0.214196557,1
PRAV_2,-0.444578199,-0.794361502,0.129169582,-0.535242894,1.323224677,-0.477161542,-0.817402674,0.244030416,-0.471970957,1.755166558,2.120344728,1.706355926,0.263661156,0.535520649,0.183360811,0.592574542,1.474801719,0.571679541,-0.216465078,0.974511791,1
PRAV_6,-0.952240754,-0.794361502,-0.664336074,-0.625675297,1.235823784,-0.989118394,-0.817402674,-0.713519343,-0.643444496,1.135546672,2.024159792,2.585475487,1.908470819,0.595189665,1.070525234,3.26266634,2.416586255,0.855137147,-0.109180641,0.327445045,1
JLEE_2,-1.023468907,-0.794361502,-0.233611909,-0.103084108,-0.342507316,-1.052564794,-0.817402674,-0.307044095,-0.200223807,-0.514650445,0.592466521,1.327144171,-0.192349237,-0.233936274,-1.274083262,-0.351247026,-0.917492111,0.204145527,-0.389698581,-0.087137125,3.2
JLEE_5,-0.340705477,-0.794361502,-0.338626279,-0.498011117,-1.026401634,-0.380479996,-0.817402674,-0.374258408,-0.553850027,-1.17080764,-0.110227619,1.182671676,-0.379141669,-0.946023,-0.505880834,-0.435712916,-0.923057542,-0.905663065,-0.378145886,0.269217739,3.2
JLEE_6,1.195460504,-0.794361502,1.938088658,0.619053183,0.033058371,1.144363245,-0.817402674,1.792578568,0.436836526,-0.045179044,0.636341977,1.176635216,0.594632178,-0.612994916,-0.297059496,-0.333106642,-0.141058243,0.37710271,0.221284668,-0.608915191,3.2
JLEE_3,-0.71886688,-0.794361502,-0.682096271,-0.783643958,0.171490784,-0.757399978,-0.817402674,-0.694584066,-0.803791283,0.299621118,-0.524658604,0.750157097,-0.137680861,-0.720070833,-0.503875491,-0.915715359,-0.516339232,0.622125386,-0.352000694,-0.636895477,3.2
